code,description,hcc_v24,hcc_v28,is_specific,parent,children
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,true,,,
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",,,true,,,
A00.9,"Cholera, unspecified",,,true,,,
A01.00,"Typhoid fever, unspecified",,,true,,,
A01.01,"Typhoid meningitis",,,true,,,
A01.02,"Typhoid fever with heart involvement",,,true,,,
A01.03,"Typhoid pneumonia",115,,true,,,
A01.04,"Typhoid arthritis",39,92,true,,,
A01.05,"Typhoid osteomyelitis",39,92,true,,,
A01.09,"Typhoid fever with other complications",,,true,,,
A01.1,"Paratyphoid fever A",,,true,,,
A01.2,"Paratyphoid fever B",,,true,,,
A01.3,"Paratyphoid fever C",,,true,,,
A01.4,"Paratyphoid fever, unspecified",,,true,,,
A02.0,"Salmonella enteritis",,,true,,,
A02.1,"Salmonella sepsis",2,2,true,,,
A02.20,"Localized salmonella infection, unspecified",,,true,,,
A02.21,"Salmonella meningitis",,,true,,,
A02.22,"Salmonella pneumonia",115,,true,,,
A02.23,"Salmonella arthritis",39,92,true,,,
A02.24,"Salmonella osteomyelitis",39,92,true,,,
A02.25,"Salmonella pyelonephritis",,,true,,,
A02.29,"Salmonella with other localized infection",,,true,,,
A02.8,"Other specified salmonella infections",,,true,,,
A02.9,"Salmonella infection, unspecified",,,true,,,
A03.0,"Shigellosis due to Shigella dysenteriae",,,true,,,
A03.1,"Shigellosis due to Shigella flexneri",,,true,,,
A03.2,"Shigellosis due to Shigella boydii",,,true,,,
A03.3,"Shigellosis due to Shigella sonnei",,,true,,,
A03.8,"Other shigellosis",,,true,,,
A03.9,"Shigellosis, unspecified",,,true,,,
A04.0,"Enteropathogenic Escherichia coli infection",,,true,,,
A04.1,"Enterotoxigenic Escherichia coli infection",,,true,,,
A04.2,"Enteroinvasive Escherichia coli infection",,,true,,,
A04.3,"Enterohemorrhagic Escherichia coli infection",,,true,,,
A04.4,"Other intestinal Escherichia coli infections",,,true,,,
A04.5,"Campylobacter enteritis",,,true,,,
A04.6,"Enteritis due to Yersinia enterocolitica",,,true,,,
A04.71,"Enterocolitis due to Clostridium difficile, recurrent",,,true,,,
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",,,true,,,
A04.8,"Other specified bacterial intestinal infections",,,true,,,
A04.9,"Bacterial intestinal infection, unspecified",,,true,,,
A05.0,"Foodborne staphylococcal intoxication",,,true,,,
A05.1,"Botulism food poisoning",,,true,,,
A05.2,"Foodborne Clostridium perfringens [Clostridium welchii] intoxication",,,true,,,
A05.3,"Foodborne Vibrio parahaemolyticus intoxication",,,true,,,
A05.4,"Foodborne Bacillus cereus intoxication",,,true,,,
A05.5,"Foodborne Vibrio vulnificus intoxication",,,true,,,
A05.8,"Other specified bacterial foodborne intoxications",,,true,,,
A05.9,"Bacterial foodborne intoxication, unspecified",,,true,,,
A06.0,"Acute amebic dysentery",,,true,,,
A06.1,"Chronic intestinal amebiasis",,,true,,,
A06.2,"Amebic nondysenteric colitis",,,true,,,
A06.3,"Ameboma of intestine",,,true,,,
A06.4,"Amebic liver abscess",,,true,,,
A06.5,"Amebic lung abscess",115,283,true,,,
A06.6,"Amebic brain abscess",,,true,,,
A06.7,"Cutaneous amebiasis",,,true,,,
A06.81,"Amebic cystitis",,,true,,,
A06.82,"Other amebic genitourinary infections",,,true,,,
A06.89,"Other amebic infections",,,true,,,
